,des,rdPr,hm,numPackets,avgReadLatency,avgWriteLatency,readBW,writeBW,bytesRead,bytesWritten,totBW,ARL,AWL,ART,Data Bus BW
0,2,RO,Hit,2861651,918102.911834,nan,18312883189.012272,0,183129280,0,18.312883189012272,918.102911834,,,18.312928
1,2,RO,MissClean,1144155,1307844.862864,nan,7321734278.459210,0,73217728,73209536,7.3217342784592105,1307.844862864,,,14.6427264
2,2,RO,MissDirty,1175233,1182102.880462,nan,7520535188.394499,0,75213888,75202496,7.520535188394499,1182.1028804619998,,,15.0416384
3,2,R67,Hit,1957024,849970.852065,15187.166697,8303992211.572502,4220312894.363684,125240576,42192896,12.524305105936186,849.970852065,15.187166697,574.4922358935601,16.7433472
4,2,R67,MissClean,1166721,1342917.460714,18878.175457,4953530216.258120,2512912265.923638,74663360,74653760,7.4664424821817565,1342.917460714,18.878175457,905.9844965791901,14.931712
5,2,R67,MissDirty,1208321,1274573.513542,18210.988392,5129519179.715225,2602902703.335369,77326464,77316160,7.732421883050594,1274.573513542,18.210988392,859.9738802425001,15.4642624
6,2,WO,Hit,1234308,nan,18105.848358,0,7899550489.605947,78988096,78979328,7.8995504896059465,,18.105848358,,15.7967424
7,2,WO,MissClean,1234308,nan,18105.848358,0,7899550489.605947,78988096,78979328,7.8995504896059465,,18.105848358,,15.7967424
8,2,WO,MissDirty,1234308,nan,18105.848358,0,7899550489.605947,78988096,78979328,7.8995504896059465,,18.105848358,,15.7967424
9,Alloy,RO,Hit,2282917,1145779.528535,nan,14608995948.610481,0,146090560,0,14.608995948610481,1145.779528535,,,14.609056
10,Alloy,RO,MissClean,1074788,2367045.943513,nan,6877007130.013809,0,85964880,85953440,6.877007130013809,2367.045943513,,,17.191832
11,Alloy,RO,MissDirty,1074831,2375009.830717,nan,6877285974.983727,0,85967440,85956960,6.877285974983727,2375.009830717,,,17.19244
12,Alloy,R67,Hit,1657012,1567968.054045,16019.890933,7031577587.343161,3572185593.570066,132540560,44637280,10.603763180913226,1567.9680540450001,16.019890933,1055.8251602180403,17.717784
13,Alloy,R67,MissClean,1074993,2379233.177489,19299.776385,4563199326.241349,2315717962.379572,85981120,85969920,6.878917288620921,2379.233177489,19.299776385,1600.45515512468,17.195104
14,Alloy,R67,MissDirty,1075564,2348487.494968,19315.282136,4565581533.200201,2316950724.200761,86026800,86015680,6.882532257400962,2348.4874949679997,19.315282136,1579.86066473344,17.204248
15,Alloy,WO,Hit,1076304,nan,19298.304676,0,6888335826.781945,86084960,86075040,6.888335826781946,,19.298304676,,17.216
16,Alloy,WO,MissClean,1076304,nan,19298.304676,0,6888335826.781945,86084960,86075040,6.888335826781946,,19.298304676,,17.216
17,Alloy,WO,MissDirty,1076304,nan,19298.304676,0,6888335826.781945,86084960,86075040,6.888335826781946,,19.298304676,,17.216
